id,description,hierarchy_levels,type
ESD7BFFE052367E6732E,5G Technology,"[['17.0', '17.0.495.0']]",skill
BGS32F30F3A42DFC9FFA,5S Methodology,"[['21.0', '21.0.527.0']]",skill
ESE509A51EFCA605C729,5S Methodology Certification,,skill
KS5YH61VU6MA56ZPER5N,64bit,"[['17.0', '17.0.386.0']]",skill
ES8C1C07DF92D164F349,6G Welding Certification,,skill
KS1201Y6DQ7VHZD11FTJ,6LoWPAN,"[['17.0', '17.0.450.0']]",skill
KS1201Z6SW2FKZ55ZX9R,7-Zip,,skill
KS124PQ75DRLM5MNWX42,8 Mm Video Format (Video Storage),,skill
KS120276F2WTD1S8030J,A/B Testing,"[['22.0', '22.0.558.0']]",skill
KS1202C675YBHGWX1564,A3 Problem Solving Techniques,,skill
KS1202F63B7QKT0F54ZC,AAA Protocol (Code Division Multiple Access),,skill
KS1202F67YRGQMMX7PLF,AAA Server (Authentication Authorization And Accounting),"[['17.0', '17.0.451.0']]",skill
ES78DC0D6C56B45948AA,AAA Video Games,"[['7.0', '7.0.170.0']]",skill
ES667D2761AD0B442134,AAADM Certification,,skill
ESF9102E8689E49F24BD,AAAE Accredited Airport Executive (AAE),,skill
ES735CA35661609A3481,AAAE Airport Certified Employee (ACE),,skill
ESE91DBD732C13FF6D5B,AAAE Airport Rescue Fire Fighter (ARFF),,skill
ESA88F4EFA27D3C1942B,AAAE Airport Security Coordinator Certification (ASC),,skill
ESD820D30F3650D20392,AAAE Certified Member (CM),,skill
ES24175DF8D4A7CF0198,AAUS Scientific Diver Certification,,skill
ES9F1D46BD135CEEA989,ABA Intervention,"[['14.0', '14.0.328.0']]",skill
KS1202P6J5TD8XJJDTX6,ABC FlowCharter,,skill
KS1202V6WJWVT791L109,ABI Solid Sequencing,,skill
ES891E42534D8C44D443,ABKA Certification,,skill
KS7G21Y701HRNDL7K2BB,ABL Radiometers,,skill
ESC0EDB00DB2D73D7D8D,ABO-NCLE Certified,,skill
KS7G22P6T9B338MBV6XT,ABR Routers,"[['17.0', '17.0.452.0']]",skill
ES794A2AF01FB95DE9B9,AC Motors,"[['21.0', '21.0.530.0']]",skill
KS123DK6K8J5TYHN78GL,AC Power Plugs And Sockets,"[['20.0', '20.0.513.0']]",skill
ES2B6A1D64BCCB4A32C9,AC/DC Converters,"[['10.0', '10.0.196.0']]",skill
ES3150BAABF152E0DC5B,AC/DC Power,"[['10.0', '10.0.196.0']]",skill
KS1203971GHQ0WT3QL4C,ACA Instructor Certificate,,skill
KS120456MSP4Z4754XJB,ACCP Certified,,skill
KS1204J761NQL9YYVB5F,ACDSee,,skill
ESDFDE92DDCA772625B4,ACI Aggregate Testing Technician,,skill
ESA7B5CE41D00AE94816,ACI Concrete Field Testing Technician,,skill
ES5B1B6CEADDBDAD351B,ACI Concrete Laboratory Testing Technician,,skill
KS122KR6MSB5C55Q4L5V,ACI Concrete Strength Testing Technician,,skill
KS1204R695DHSTFWLMCB,ACID Pro,,skill
KS1204X73GP18ZNVZ5T0,ACL2,,skill
ES570487B4124BEB6FA0,ACLS Instructor Certification,,skill
BGS225008EBCAD3843E2,ACORD Forms,"[['6.0', '6.0.168.0']]",skill
ES62AF4B196968FCE2FF,ACTION Certified Personal Trainer,,skill
KS1206267TYTXHMT77TM,ADABAS,"[['17.0', '17.0.479.0']]",skill
ESFD00AF149A409FF64F,ADABAS Certified Database Administrator,,skill
ES30611823CEE242F0E6,ADDIE Instructional Design Model,"[['9.0', '9.0.189.0']]",skill
ESFA3E30ECABB8A321A8,ADHD Tutoring,"[['9.0', '9.0.647.0']]",skill
KS1206S5Z55MGLBNNV2Y,ADMS (Software),,skill
KS1206T6DR6QD8JMTQY4,ADO.NET (Programming Language),"[['17.0', '17.0.442.0']]",skill
KS1207X64LWTF77RX15S,ADOMD.NET,,skill
KS1207S774W7GXG0NN38,ADOdb Database Abstraction Library For PHP,,skill
ESCDC4AA8C79723E8776,ADP Certified Payroll Specialist,,skill
ES50435CEF185473C55A,ADP Enterprise,"[['16.0', '16.0.360.0']]",skill
BGS6783D9E44170E9CD3,ADP PCPW,"[['16.0', '16.0.360.0']]",skill
BGSBE58A438A9A0E0C44,ADP Pay eXpert,"[['16.0', '16.0.360.0']]",skill
BGS48D628E5FBF5381F7,ADP PayForce,"[['16.0', '16.0.360.0']]",skill
BGSA58290F8CF9B2D2A3,ADP Payroll,"[['16.0', '16.0.360.0']]",skill
ES2C5FD4C9D67A0A4942,ADP Reporting,"[['16.0', '16.0.359.0']]",skill
ES1C15D7D4543868E56E,ADP SmartCompliance,"[['13.0', '13.0.256.0']]",skill
ES7DCEC0A13385EEAD75,ADP TotalSource,"[['16.0', '16.0.359.0']]",skill
ESEC094F51B4AA2A7452,ADP Vantage,"[['16.0', '16.0.359.0']]",skill
ES96C35DE2373F9BEDFD,ADP Workforce Now,"[['16.0', '16.0.360.0']]",skill
KS7G44576GPZ9DFT4D21,ADT Security Services,"[['28.0', '28.0.593.0']]",skill
ES1E313B07A690C0CDD5,ADTRAN Certification,,skill
KS1209D705T3KL01NLLW,AERMOD,,skill
KS1209H79Q68M1DGNLVL,AERONET,,skill
KS1209L6PRPR9P5K1ZRT,AES3,,skill
ES5CE1585BED121F379B,AFAA Group Fitness Instructor Certification,,skill
ES1AF63CF97BF8BC121D,AFAA Indoor Cycling Certification,,skill
ES5D262AF930B552E897,AFAA Kickboxing Certification,,skill
ES875498DF88EA4808C1,AFAA Personal Fitness Trainer Certification,,skill
KS1209V5XPN3LCLXZN9C,AFGROW,"[['11.0', '11.0.226.0']]",skill
ES11E21EC495A3444D52,AFIP Certified,,skill
BGSEE7DF57CDC277381D,AFNetworking,"[['17.0', '17.0.453.0']]",skill
KS120B471RX7V058TYYY,AGFA Impax 6,,skill
KS120B773ZV1BGVMLCR6,AGi32,"[['11.0', '11.0.243.0']]",skill
BGSA0A4127D9379C44B7,AHIMA Standards Of Ethical Coding,"[['14.0', '14.0.320.0']]",skill
ES950F4270FE82019060,AHIP Certified,,skill
ES85AFFFA8A800AA4183,AIOps (Artificial Intelligence For IT Operations),"[['17.0', '17.0.372.0']]",skill
KS121J46GJX1DS6J2RR5,AIRS Certified Diversity Recruiter (CDR),,skill
KS120CT6H9JD0359XX5L,AISC 360 Specification For Structural Steel Buildings,"[['4.0', '4.0.134.0']]",skill
ESCF66D708E232B778DB,AKTA (Chromatography Technology),"[['30.0', '30.0.621.0']]",skill
KS120D06QPFCLR4K20K6,ALA Lighting Specialist Certification,,skill
KS120D871VT2YB2V90ZJ,ALGOL (ALGOrithmic Language),"[['17.0', '17.0.456.0']]",skill
ES5615A7CD953146E286,ALM Octane,"[['17.0', '17.0.476.0']]",skill
KS120F66K15VYY7T9SH4,ALWD Citation Manual,,skill
KS120G060HKMFJ6XW9FK,AME Accounting Software,,skill
KS120G8732XJD6951BT0,AMPAC,,skill
KS120GB5X6TXMRL1RMNF,AMPL,"[['17.0', '17.0.456.0']]",skill
ES94A14D7F42AFF5C472,AMPScript,"[['17.0', '17.0.471.0']]",skill
KS120GF6V9G5Q8V2JHF3,AMS Device Management,,skill
KS7G50L6C94XCNCPVHFR,AMT Asset Management Software,"[['13.0', '13.0.256.0']]",skill
ES1A3DE851CDC61EAEE4,AMX Programming,"[['17.0', '17.0.456.0']]",skill
KS1267R72H1P0F4J08NQ,AN/PRC-148 Multiband Inter/Intra Team Radio (MBITR),,skill
KS120GX6ZR3PQRWT4HZ5,ANCC Certified,,skill
KS120HS67929RDK5LFV5,ANSI C,,skill
KS120HT6MRQ053YRN04Z,ANSI Escape Codes (Computer Standards),,skill
KS7G1695VNNLQQVMWGQV,ANSI/ANS Standards,"[['10.0', '10.0.200.0']]",skill
KS120P36QKS9Q0HT3Y84,ANSI/ASME Y14.1 Standards,,skill
BGS99C5C8D52F3935CCC,ANSI/TIA/EIA,"[['20.0', '20.0.657.0']]",skill
ESB8C30E646A8D126D9D,ANSYS IcePak (Simulation Software),"[['11.0', '11.0.243.0']]",skill
KS7G1BR6XS3B87GHVMYH,ANSYS Meshing,"[['11.0', '11.0.243.0']]",skill
KS120JB780BFZLM229KT,ANTLR,"[['3.0', '3.0.126.0']]",skill
KS120JG6KF1PGXQF1LWD,AOLserver,,skill
KS120JJ69JS4Y7D3GT76,AP Stylebook,"[['23.0', '23.0.567.0']]",skill
ES47872FF0920889B0CC,APA Ethics Code,"[['14.0', '14.0.313.0']]",skill
KS440NJ66PMC7GRTQ5M4,APC Smart-UPS,,skill
KS120JQ5XRT24Y2TYJH4,API 570 Piping Inspector Certification,,skill
ESE924C695428FBDD749,API 653 Aboveground Storage Tank Inspector Certification,,skill
KSS344MJ1FTC11D417OQ,API Design,"[['17.0', '17.0.369.0']]",skill
KSSJWZXL7CV40W8V1XSG,API Gateway,"[['17.0', '17.0.369.0']]",skill
KSX7P09OI655CWYTVMN8,API Management,"[['17.0', '17.0.369.0']]",skill
KS1277P692WQKR53ZQ9S,API Oil-Water Separator,"[['12.0', '12.0.255.0']]",skill
KSLBN610H23NXCFCFLRF,API Throttling,"[['17.0', '17.0.369.0']]",skill
KS122KF6P32HVKQ22H3F,APICS Certified Supply Chain Professional,,skill
KS120276HJHWKR60D4LL,APL (Programming Language),,skill
KS120LS6BZQJ38QR16LF,APPX (Runtime Environment),,skill
KS120LX703K7L79K0XMF,AQtime,,skill
KS128J05YWMVDP8ZS3KP,AR System Administration,,skill
KS120M86T569CQN08FPW,ARC Macro Language,,skill
BGSB733F363CB53A6EA4,ARCore,"[['17.0', '17.0.374.0']]",skill
KS120M96HHK4LRBHK1MK,ARCserve Backup Solutions,,skill
KS120MX71N7VKSBKSTGB,AREMOS,,skill
KS120N160BXHQ7KC0CCN,ARINC Standards,"[['32.0', '32.0.632.0']]",skill
BGS557F9F17E40A13ECF,ARISg,"[['30.0', '30.0.618.0']]",skill
KS68WDCYJLS1BCN3375P,ARKit,"[['17.0', '17.0.374.0']]",skill
KS120N35W6P190K9B7YT,ARM Architecture,"[['17.0', '17.0.363.0']]",skill
KS120N36W0YXDKXMX65R,ARM Architecture Microprocessors,"[['17.0', '17.0.386.0']]",skill
KS120N360W96BTJHB9J6,ARM Microarchitectures,,skill
KS120N374GTJHVC7C3HB,ARM7 Architecture,,skill
KS120N46X6LFXVZX4PT8,ARM9 Architecture,,skill
KS120N66VXJ87Z96N80S,ARMulator,,skill
BGSDA476C6D62DC9ED7C,ARP4754,"[['32.0', '32.0.632.0']]",skill
BGS18E5CC426C441FA0F,ARP4761,"[['32.0', '32.0.632.0']]",skill
KS120NS7542KRQ27Y9T9,AS2,"[['17.0', '17.0.451.0']]",skill
KS120NS75WQMM7B20BK4,AS4 Conformance Profile,,skill
KS120NW7376VH62F7SZ2,ASARS-2 Radar System,,skill
ES56EEB661757C53A3B4,ASC 340,"[['13.0', '13.0.274.0']]",skill
ES3B21EEEDAE30A6D435,ASC 606 (Revenue Recognition),"[['13.0', '13.0.278.0']]",skill
KS123TQ761C17LV3KCZL,ASC 740 (Accounting For Income Taxes),"[['13.0', '13.0.287.0']]",skill
ES9DD1674BB7DBE36AD6,ASC 842 (Lease Accounting Standard),"[['13.0', '13.0.274.0']]",skill
KS120HR68F268R48NN2Q,ASC X12 Standards,"[['17.0', '17.0.392.0']]",skill
ES79DA0EB56EA1B68469,ASCM Supply Chain Procurement Certificate,,skill
ES239541A0DA618631E5,ASE Advanced Engine Performance Certification,,skill
ES6A32C5E73B401844DF,ASE Auto Maintenance And Light Repair Certification,,skill
ESDEBFEDDA6E4F067BA4,ASE Automobile Service Consultant,,skill
ES5653BEA3D536EEAF9D,ASE Medium-Heavy Truck Certification,,skill
ES1AF5FD7C6CC3537D49,ASE Parts Specialist,,skill
KS120P075CPBQKYR3H07,ASIC Programming Language,,skill
KS1215R6G5DYNSM74PW5,ASME Boiler And Pressure Vessel Code (BPVC),,skill
KS120P55ZL8G3G62ZZ5R,ASNT Non-Destructive Tester,,skill
KS120026VL50QFWT2281,ASP.NET,"[['17.0', '17.0.442.0']]",skill
ESD3D2440C1EA13521F1,ASP.NET Core,"[['17.0', '17.0.442.0']]",skill
ESD01424DDFB5DBF393F,ASP.NET Core MVC,"[['17.0', '17.0.442.0']]",skill
KS120P56T2RTSC0HS9S8,ASP.NET Extensions For AJAX,"[['17.0', '17.0.442.0']]",skill
KS120P65YPG6CLW2TL7B,ASP.NET Fundamentals,,skill
ES535CAD45EEE46C3B92,ASP.NET Identity,,skill
ES4F9308FDC1CD3A66CF,ASP.NET MVC 5,"[['17.0', '17.0.442.0']]",skill
KS120P66TSZZ3X8G19X1,ASP.NET MVC Framework,"[['17.0', '17.0.442.0']]",skill
ESAFC9B9B186876E1204,ASP.NET Razor,"[['17.0', '17.0.442.0']]",skill
ES953681ACD477C14788,ASP.NET Web API,"[['17.0', '17.0.442.0']]",skill
KS120PZ67ZB2XW1DY35G,ASSR Certified,,skill
KS120Q26B1BK8HSNBS3L,ASTM B117 - 11 Standard,,skill
ESF64ABAD222DB9526D3,ASTM International Standards,"[['19.0', '19.0.510.0']]",skill
KS120QT68NVV4FNFG21L,AT91SAM (Microcontrollers),,skill
KS120QB77K2SR96QTD07,ATA Packet Interface,,skill
BGS498A0E20998B285FB,ATG Dynamo,"[['17.0', '17.0.409.0']]",skill
KS120QQ64GQM67DYJ0N6,ATL Server,,skill
ES3FE972B564426E4D97,ATLAS.ti (Qualitative Data Analysis Software),"[['3.0', '3.0.116.0']]",skill
KS1202J6V5TM84R59X89,ATM Adaptation Layer,,skill
KS120QT623D8TCX7251D,ATM Controllers,,skill
KS7G3CD78LKRR9SHTLLP,ATP/EMTP Software,"[['11.0', '11.0.226.0']]",skill
KS120TD6FDZ2X0CD7RJV,AUTomotive Open System Architecture (AUTOSAR),"[['11.0', '11.0.214.0']]",skill
KS120TQ64NLK30XBJ0GW,AVG (Software),"[['17.0', '17.0.367.0']]",skill
KS121RM60CTV4VXVY7R2,AVIXA Certified Technology Specialist,,skill
KS120TY6VMKTW69X09NF,AVL Tree,,skill
KS120V06RSJYTD3653PQ,AVS Video Editor,,skill
KS120TP63502W6Z88HQR,AVoided Emissions And GeneRation Tool,,skill
KS120V178L936G0L2P07,AWK (Programming Language),"[['17.0', '17.0.471.0']]",skill
ES10A39B7C7A12C9618F,AWS Amplify,"[['17.0', '17.0.476.0']]",skill
ES4D45401B3C9E4FC96E,AWS App Mesh,,skill
ES9D43585B5783E22072,AWS AppSync,"[['17.0', '17.0.369.0']]",skill
ES19FD1951EE3CE14D14,AWS Auto Scaling,"[['17.0', '17.0.382.0']]",skill
ESD6A7AFB71A448F064D,AWS Backup,"[['17.0', '17.0.375.0']]",skill
ESCEC06EC6132930188F,AWS Batch,"[['17.0', '17.0.382.0']]",skill
KSYIJN0ID1F7P2HPDUCJ,AWS CLI (Command Line Interface),"[['17.0', '17.0.470.0']]",skill
ES5B093CD735026356AA,AWS Certified Advanced Networking Specialty,,skill
ESE9D9E0EAAFED58FE7F,AWS Certified Big Data Specialty,,skill
ESCA261D1D1DC8A1623D,AWS Certified Cloud Practitioner,,skill
ES8B87DCFE13A4717BE1,AWS Certified DevOps Engineer,,skill
ES798281B621D67C2728,AWS Certified Developer,,skill
ES59A32D2113C9D8482E,AWS Certified Machine Learning Specialty,,skill
ES8BE2666F02E442ED93,AWS Certified Security Specialty,,skill
ES47E53AE0C2065DA872,AWS Certified Solutions Architect,,skill
ESDADAA6F2B49D44BA23,AWS Certified Solutions Architect Associate,,skill
ESF0EC212A748B43EF90,AWS Certified Solutions Architect Professional,,skill
ESBD4FA4DB8AEE666CD0,AWS Certified SysOps Administrator,,skill
ESB3F99C3446845F41F6,AWS CloudFormation,"[['17.0', '17.0.382.0']]",skill
ES323762B1E71B5B0976,AWS CloudHSM,"[['17.0', '17.0.392.0']]",skill
ES6C84FF059A9F04F65E,AWS CloudTrail,"[['17.0', '17.0.392.0']]",skill
ESD020B052E485B421A3,AWS CodeBuild,"[['17.0', '17.0.382.0']]",skill
ES2119F2B7CEE19988ED,AWS CodeCommit,"[['17.0', '17.0.486.0']]",skill
ES192CD34322D5FBBF42,AWS CodeDeploy,"[['17.0', '17.0.476.0']]",skill
ES81E615088FE9EDB504,AWS CodePipeline,"[['17.0', '17.0.476.0']]",skill
ESDAEB87897FCB6139E7,AWS Cost Management,"[['17.0', '17.0.382.0']]",skill
ESC1AE8112F1253E3185,AWS Directory Service,"[['17.0', '17.0.382.0']]",skill
KSU21FZSFMTTJN9W22FR,AWS Elastic Beanstalk,"[['17.0', '17.0.476.0']]",skill
KS4NKXC90M22JM53MO6D,AWS Elastic MapReduce (EMR),"[['3.0', '3.0.118.0']]",skill
ESBD8E0AF64EAB01791B,AWS Glue,"[['17.0', '17.0.416.0']]",skill
ESFF6FC6EEE083A0AF63,AWS Identity And Access Management (IAM),"[['17.0', '17.0.426.0']]",skill
ES363E5FFEDC2CBB5A4D,AWS Inferentia,"[['17.0', '17.0.382.0']]",skill
ES283C495870146C865C,AWS Internet Of Things (IoT),"[['17.0', '17.0.430.0']]",skill
ES41665F519CF411D0AB,AWS Key Management Service (KMS),"[['17.0', '17.0.392.0']]",skill
ES4512E57CF178E77F7B,AWS Kinesis,"[['17.0', '17.0.382.0']]",skill
KSE4ME2Z9GRO05SLM3CR,AWS Lambda,"[['17.0', '17.0.382.0']]",skill
KSRBOPVHZ882YQAMZ0BU,AWS OpsWorks,"[['17.0', '17.0.389.0']]",skill
KSMJU7BL3K034AD0AQSX,AWS SDK,"[['17.0', '17.0.476.0']]",skill
ES2133DA6434CF028833,AWS SageMaker,"[['17.0', '17.0.372.0']]",skill
ES5D2CADD08A092311CF,AWS Serverless,"[['17.0', '17.0.382.0']]",skill
BGS7C9D9872C41BA7169,AWS User Pools,,skill
KS120V36Q74GFF16ZY9V,AX.25 Protocol,,skill
ES52C92B8516F3CFD53F,Ab Initio (Software),"[['3.0', '3.0.115.0']]",skill
KS1202N6LF0C1R6R5L0L,Abaqus,"[['11.0', '11.0.226.0']]",skill
KS1202P6CWB7Y5KCB78N,Abc Analysis,"[['32.0', '32.0.638.0']]",skill
KS7G5BF640KP9WGMYZXT,Abdomen (Medical),"[['14.0', '14.0.310.0']]",skill
BGS15F3422A2954CA9C6,Abdominal Aneurysm,"[['14.0', '14.0.297.0']]",skill
KS1202R6Q0F9WFQR874Z,Abdominal Surgery,"[['14.0', '14.0.348.0']]",skill
KS1202S6JJ6ZRGXDFHQM,Abdominal Trauma,,skill
KS1202S6YL4YQPLDHBMS,Abdominal Ultrasonography,"[['14.0', '14.0.323.0']]",skill
KS1202T6DM0DBC2PSHLH,Abdominoplasty,"[['14.0', '14.0.348.0']]",skill
BGSDC602ABB7FA3250E0,Abend-AID,"[['17.0', '17.0.477.0']]",skill
KS1223W73XQS78C2FST2,Ability To Distinguish Colors,"[['26.0', '26.0.579.0']]",skill
ES9BD12EB76B360E0E89,Ability To Meet Deadlines,"[['26.0', '26.0.577.0']]",skill
ES42254E203C502CE862,Abiotic Stress Resistance,"[['30.0', '30.0.613.0']]",skill
KS1202X65SZ3VM8V8RYB,Ablation,"[['14.0', '14.0.297.0']]",skill
KS1202Y6YB65J9CFR5YC,Ableton Live,"[['23.0', '23.0.559.0']]",skill
KS12030712HLR96L8W57,Abnormal Psychology,"[['14.0', '14.0.326.0']]",skill
KS120316H9WBMNRL25JD,Abnormal Return,,skill
KS7G5166Y7RLLM3ZFW86,Aboriginal Law,,skill
KS120316XL4914GMCBQK,Abrasion,"[['21.0', '21.0.532.0']]",skill
KS120326ZT67WND9V0YY,Abrasive Blasting,"[['20.0', '20.0.521.0']]",skill
KS120336GQFKVT54QV78,Abrasive Saw,"[['21.0', '21.0.530.0']]",skill
KS12034717M58DR8H8N9,Abscesses,"[['14.0', '14.0.318.0']]",skill
KS125QD6THVTXDY344MP,Absolute Manage,,skill
KS127DD61V3GV283FW9F,Absorption (Electromagnetic Radiation),"[['30.0', '30.0.624.0']]",skill
KS1206P5XBWRK38BXKJ8,Absorption Distribution Metabolism And Excretion (ADME),,skill
KS120G474PXV3F5L4P0Q,Absorption Refrigeration,"[['20.0', '20.0.519.0']]",skill
KS120355YQKKX0V3C7G8,Absorption Spectroscopy,"[['30.0', '30.0.617.0']]",skill
KS120355ZP7F02VG00ZT,Abstract Algebra,"[['3.0', '3.0.125.0']]",skill
KS6U98UYDZRIQB1N39JD,Abstract Class,,skill
KS120356T1XXC7HZSYP2,Abstract Data Types,"[['17.0', '17.0.363.0']]",skill
KS12035710BLMKCV8BX2,Abstract Factory Pattern,"[['17.0', '17.0.474.0']]",skill
KS1228L6JG2Z7Y9388W1,Abstract Management,"[['1.0', '1.0.408.0']]",skill
ESE68202E16FD045AA12,Abstract Of Title,"[['19.0', '19.0.509.0']]",skill
KS120P36WR8K8GQ5MC9F,Abstract State Machine Language (ASML),,skill
KS120366BK68G1RR9HZB,Abstract Syntax Notation One,,skill
KS120376F8K0V1ZP5JTL,Abstract Syntax Tree,,skill
KS120376TXG3FMD6JBTS,Abstract Window Toolkit,,skill
